=== Debug Logger Session Started at 2026-09-15T14:26:50.709 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-15T14:26:50.606] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-15T14:26:50.833 ===
=== Debug Logger Session Started at 2026-09-15T14:26:50.837 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-15T14:26:50.833] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_dual.bin | Size: 54742 bytes | Modified: 2026-09-15T20:26:49.825Z
[2026-09-15T14:26:50.836] [SYSTEM] Download Session Started
[2026-09-15T14:26:52.287] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_dual.bin successfully downloaded to RAM
[2026-09-15T14:26:52.302] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-15T14:26:52.302] Cog0  INIT $0000_0FA8 $0003_389C jump
[2026-09-15T14:26:52.302] Cog1  INIT $0000_0FA8 $0003_2308 jump
[2026-09-15T14:26:52.302] Cog0  BM-WDSTART,seq,1,started,TRUE,cog,1
[2026-09-15T14:26:52.304] Cog0  BM-BANNER,seq,2,src_rev,7,fmt,1,part,FLOOR,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,quiet,TRUE,mdbg,3,sdbg,3
[2026-09-15T14:26:52.304] Cog0  BM-BUILD,seq,3,sf,1,inst_hz,500,inst_ticks,540_000,ring,4_096,slongs,9,waitms_max,7_953,wd_stall_ms,4_000,abs_abort_mV,1_500,ladder_max,165_000_000,rwire_mohm,20,pack_mV,18_500,fault_cool_ms,5_000
[2026-09-15T14:26:52.305] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-NOSTALL-F,task,3508
[2026-09-15T14:26:52.306] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-DBGMASK-F,task,3508
[2026-09-15T14:26:52.307] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-FLOORANS-F,task,3508
[2026-09-15T14:26:52.307] Cog0  BM-PLAN,seq,4,seg,FLOOR,order,1,attended,TRUE,part,FLOOR,finds,S-9a,est_s,180,est_kb,1_180
[2026-09-15T14:26:52.308] Cog0  * PANIC PROCEDURE IS PHYSICAL BATTERY DISCONNECT ONLY -- emergencyCutoff() self-cancels in about 250 ms (finding S-4)
[2026-09-15T14:26:52.314] Cog2  INIT $0000_0FA8 $0003_044C jump
[2026-09-15T14:26:52.315] Cog0  BM-INST,seq,5,event,START,cog,2,state,IDLE,ack_ms,5,samples,0,late,0,skipped,0,max_late_us,0,clamps,0,why,NONE
[2026-09-15T14:26:52.315] Cog0  BM-SEG,seq,6,seg,FLOOR,event,BEGIN,attended,TRUE,items,0,faults,0,unrecov,0,ms,0,why,NONE
[2026-09-15T14:26:52.391] `PLOT bmpanel TITLE 'Motion harness operator panel' SIZE 480 260 POS 60 80 HIDEXY UPDATE<CR><LF>`bmpanel cartesian 1<CR><LF>`bmpanel LAYER 1 'bm_bg.bmp'<CR><LF>`bmpanel LAYER 2 'bm_prompt.bmp'<CR><LF>`bmpanel LAYER 3 'bm_state.bmp'<CR><LF>`bmpanel LAYER 4 'bm_buttons.bmp'<CR><LF>`bmpanel LAYER 5 'bm_digits.bmp'<CR><LF>`bmpanel crop 1<CR><LF>`bmpanel update<CR><LF>`bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 40, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>
[2026-09-15T14:26:52.680] `bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.881] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.960] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.043] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.124] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.202] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.281] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.361] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.446] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.526] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.607] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.687] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.768] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.849] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:01.926] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.010] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.087] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.166] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.246] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.326] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.414] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.493] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.572] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.652] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.732] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.814] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.892] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:02.972] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.052] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.132] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.215] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.292] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.373] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.457] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 180, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.537] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.619] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.698] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.777] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.861] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:03.937] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.017] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.101] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.177] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.258] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.338] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.425] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 160, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.503] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.585] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.662] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.743] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.825] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.905] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:04.984] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.063] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.143] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.226] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.303] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.382] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.468] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 140, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.550] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.629] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.711] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.788] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.869] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:05.949] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.027] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.109] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.188] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.270] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.349] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.437] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 120, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.516] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.593] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.675] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.753] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.837] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.917] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:06.994] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.075] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.154] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.235] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.314] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.395] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.479] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 100, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.562] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.639] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.719] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.800] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.880] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:07.962] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.040] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.121] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.200] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.281] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.360] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.445] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 80, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.524] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.604] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.684] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.767] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.845] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:08.924] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.006] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.086] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.164] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.245] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.324] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.410] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 60, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.490] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.570] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.649] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.730] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.810] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.891] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:09.969] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.052] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.131] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.210] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.290] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.370] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.454] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 40, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.537] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.615] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.696] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.775] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.857] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:10.936] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:11.015] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:11.095] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:11.176] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:11.255] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:11.336] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
